Description	PHS-30 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 15:34																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	40																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
330	44.4349	51.6187	33.0734	29.6535	57.7032	74.9018	89.4382	111.6967	103.9831	96.3627	85.5435	75.2701	55.6196	32.8686	10.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	91.1059	55.8099	41.8111	47.452	59.598	84.5765	98.3795	107.2544	115.67	101.6557	93.7849	82.6604	60.9178	41.1715	24.6464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	70.4497	69.9214	53.665	43.8182	63.3573	90.9281	93.3212	109.0897	116.9866	117.3557	101.3584	89.4543	65.7847	48.9017	31.3276	10.5088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	99.0982	75.5309	44.3351	54.5574	64.9322	87.9942	98.1265	106.7606	119.6107	122.2647	108.3736	93.0647	71.3621	56.1153	37.5726	17.8075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	135.9988	83.5691	53.8572	48.3898	69.5524	93.8859	100.3939	109.2952	119.4434	121.6726	114.8606	96.3673	77.5711	62.5878	43.4029	22.2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	106.5142	84.5997	62.9957	60.8764	69.4716	94.9723	100.0502	109.7534	114.2216	120.0053	117.9752	99.2736	83.2427	68.5366	48.7871	27.1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	145.7857	93.5605	72.5615	71.337	76.3062	96.2339	104.5521	111.8953	118.2955	118.6694	123.8148	102.3402	88.6246	73.7806	54.0182	31.9171	1.7431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	131.2172	107.7589	64.9205	66.127	75.7752	93.7601	106.0349	107.6959	117.2037	121.0404	117.5695	105.0735	93.5677	78.0489	59.5631	36.3609	10.2971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	128.2874	93.0828	82.0481	71.5292	78.6089	92.578	100.0133	110.1635	119.1196	121.5194	121.2947	108.0886	98.3298	82.1582	64.8626	40.5969	16.2565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	153.1817	109.2006	78.6293	79.7435	83.3076	99.0438	100.3656	108.3021	112.2515	119.3082	126.1649	114.7673	102.9681	86.8094	69.139	44.666	21.9324	2.0425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	154.4664	112.9741	85.2155	79.7631	81.778	105.0031	108.1507	107.7729	116.6304	121.162	124.7294	118.0924	107.243	91.1175	72.3031	49.4501	27.2982	8.0769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	143.309	125.099	104.6096	72.9146	87.6989	96.441	109.6667	117.0819	117.201	123.939	127.9984	124.5921	114.5796	95.1018	75.2229	53.9343	32.36	10.782	2.6307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	153.807	147.9959	104.2055	94.8769	95.6331	103.0298	110.8647	115.3455	120.3245	122.7735	132.5592	124.3593	120.7737	98.745	78.8066	58.1095	37.2637	19.7351	9.3053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	164.5866	135.9642	119.2918	98.6733	102.9193	106.9426	113.673	118.1965	118.2559	127.1655	126.4334	130.6809	121.2118	102.3987	82.5107	62.4825	43.1965	28.2804	15.1054	3.0329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	163.2783	139.3535	111.9567	98.7678	99.354	111.5027	114.1556	114.2031	121.5332	126.2314	127.8165	130.4673	126.3369	107.4337	86.3823	66.8037	51.0301	36.5099	21.8925	11.5544	2.6631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
