Description	ECS-B (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/12/2010 10:21																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	3																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	0	0	0	0	0	0	0	0.3032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0	0	0.5997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	0	0	0	0	0	0	0.9117	0.8885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	0	0	0	0	0	0	1.7987	1.1684	0.4576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0	0	0	0	0	0.9385	2.3651	1.4401	0.9025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	0	0	0	0	0	1.8808	2.6653	2.2053	1.3562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	0	0	0	0	0	2.8269	2.9666	2.9735	1.8115	0.6409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	0	0	0	0	0.4397	3.7749	3.7558	3.584	2.2673	1.2835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	0.4675	0	0	0	1.6457	4.7234	4.545	4.0352	3.2438	1.9268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0	2.1073	4.4489	5.3357	4.4871	4.2224	2.5714	0.7558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	0	0	0	0	2.3451	5.3381	6.0909	5.4228	4.9984	3.1976	1.5038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	0	0	0	0.5882	2.6862	5.9866	6.838	6.3488	5.594	4.0584	2.2441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	0	0.0131	0.6629	2.472	3.9321	5.8476	7.8572	7.2409	6.1625	4.8939	2.9668	0.8054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	1.146	0	2.1024	2.5437	4.7068	6.5354	8.7254	8.0896	6.9289	5.6165	3.6645	1.5918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	3.2592	1.4571	1.4069	3.3099	5.3579	7.8194	8.9265	8.9158	7.675	6.2424	4.4285	2.359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	4.0012	0.7861	1.143	5.4312	6.36	8.2535	9.4967	9.2258	8.3618	6.8195	5.1488	3.0926	0.7685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	3.8311	3.2743	3.9692	6.263	6.9033	8.7159	9.8905	9.6691	9.0205	7.4509	5.8148	3.7999	1.5108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	7.5758	3.1625	4.52	5.4861	7.9952	8.9317	10.3193	11.0527	9.647	8.0526	6.425	4.4103	2.2259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	6.9249	5.0307	4.512	6.1523	8.4249	9.5988	10.837	10.5511	10.0818	8.6236	7.006	4.9938	2.9128	0.7625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	6.4919	6.8594	5.3658	7.2138	8.7721	9.786	10.9306	11.1957	10.7261	9.167	7.4972	5.5739	3.572	1.4962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	9.7498	6.7024	7.3126	8.9715	9.0927	10.2603	10.748	12.0499	10.9056	9.5788	7.8785	6.0832	4.2465	2.1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	8.9867	8.158	8.1232	8.2385	9.8508	11.215	10.4911	11.6685	11.424	9.9307	8.2222	6.5507	4.8727	2.8138	0.8431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	10.3661	9.0542	8.2084	9.6056	10.3267	11.14	11.0685	11.3804	11.7179	10.9003	8.537	7.0642	5.4287	3.409	1.6344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	12.0559	9.3602	9.5743	9.1704	10.7083	12.1408	11.2288	11.6033	11.6548	10.8608	8.8246	7.5398	5.9191	4.2075	2.3764	0.3599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	12.1722	10.1346	10.2672	10.6431	10.9445	11.74	11.5572	12.139	12.2662	10.9242	9.6621	7.971	6.3675	4.9486	3.068	1.3523	0.0554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	14.8242	11.0474	10.4672	11.0349	10.9623	11.8313	12.5992	12.0591	12.3158	11.294	10.0552	8.4035	7.0385	5.6092	3.7294	2.2914	0.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	15.9949	11.807	11.3295	11.6906	12.4179	11.6076	13.3937	12.3687	12.1781	12.0628	10.3917	8.7988	7.6613	6.1723	4.668	3.1754	1.5159	0.5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	15.7369	12.9244	13.656	12.6205	12.4255	12.601	13.0281	13.2255	13.1633	12.354	10.9183	9.3049	8.2576	6.7106	5.5603	4.0146	2.3972	0.7765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	19.065	14.7647	13.7909	12.9589	12.5095	12.9319	13.3448	13.08	13.2529	12.8255	11.8737	10.5736	8.8335	7.5323	6.3672	4.8163	3.2368	1.7944	0.6402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	18.6397	17.1119	14.143	13.3214	13.2503	14.0357	14.3755	13.4229	13.6356	13.2447	12.1155	10.9754	9.3696	8.3037	7.0802	5.57	4.0308	2.6528	1.2175	0.1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	20.9708	17.4079	15.9613	14.2895	14.1912	13.8984	14.476	13.9236	13.8572	13.6126	13.107	11.9573	10.5621	9.0266	7.7491	6.2792	4.7802	3.2826	2.1399	0.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
