Description	EOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 15:27																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	50																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500
290	1281.6456	1300.4721	1022.3605	771.8141	559.1534	375.4278	222.8606	89.9382	60.6767	31.0534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	1425.4704	1446.8782	1234.1242	870.9101	651.3889	461.2722	288.6275	113.5876	57.1744	30.189	6.2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	1511.9012	1541.9663	1279.9986	968.1807	741.9252	511.4891	305.4148	136.7269	84.8555	31.6916	12.3068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	1623.4779	1654.2401	1449.9227	1062.1207	774.1543	526.1959	279.8888	159.1388	115.1079	33.109	18.2342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	1967.835	2020.7933	1654.1929	1233.0908	786.0532	539.6348	254.5914	180.7229	123.6381	34.4339	11.9851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	2188.6624	2212.5215	1885.5877	1320.7895	797.3139	509.2893	252.5421	201.6598	131.8862	64.0687	5.9071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	2275.0921	2490.1309	2044.7385	1433.9059	821.26	487.4758	277.1925	204.519	142.1155	90.6319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	2515.6045	2434.6683	2100.3452	1515.0664	847.5562	465.6161	301.9532	207.3867	152.3824	97.581	25.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	2399.6511	2459.0808	2077.8385	1470.7701	817.4533	443.4863	304.9082	213.8648	162.6053	104.502	37.0547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	2363.1882	2367.1533	1988.2895	1399.2915	814.5395	421.1212	307.7145	223.9599	173.9779	111.3847	39.4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	2245.7227	2316.9441	1873.5367	1370.5083	797.4556	401.2793	310.5243	234.0722	185.3708	118.278	49.8276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	2260.2484	2335.3581	1859.7459	1351.1098	795.9704	408.7743	311.4359	243.9143	193.303	124.4259	59.8632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	2211.7013	2130.2871	1794.1715	1334.2833	788.9831	391.9674	312.3189	253.64	198.8626	133.6855	69.7914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	1978.247	2090.5903	1764.47	1287.837	734.1621	384.2618	319.0455	262.3718	203.6711	142.3658	79.3481	13.6766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	2016.7451	1955.4836	1655.8236	1183.6049	703.9716	370.9049	303.9162	269.999	210.7184	150.3227	88.4313	27.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	1813.4431	1778.2169	1506.3404	1085.9045	678.8924	344.7501	305.3152	277.3617	217.5328	157.9989	90.7369	40.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	1619.4793	1605.8738	1354.8327	1018.6821	605.2243	326.3801	292.8389	272.7082	223.0704	164.6708	92.5264	52.517	10.6943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	1457.1708	1427.5842	1259.5472	945.3907	560.6116	313.748	281.6098	258.3676	228.2876	164.9552	98.7452	64.5276	21.0232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	1356.1408	1311.2862	1136.8907	833.8247	530.935	307.879	270.791	273.9146	233.0807	165.0548	109.1082	68.2293	30.9724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	1247.5725	1210.6083	1055.0526	765.0919	492.7363	278.6826	261.1959	247.5284	233.9597	164.9655	118.9749	71.7198	40.5276	8.0362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	1129.8336	1091.3674	913.5592	691.2033	462.4523	267.1383	262.1443	253.4765	230.3168	164.7592	121.1713	77.5378	49.6974	15.7665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	995.8691	1020.9758	848.3335	627.7993	412.9366	274.4109	234.5245	234.7526	227.3924	162.6696	121.8696	84.6205	51.7539	22.9424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	917.2196	904.3498	746.5182	572.5843	383.7964	252.184	220.5217	220.3214	220.4914	172.7545	122.2975	91.1208	53.5899	29.6459	7.5899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	813.1565	731.737	665.7072	516.2678	357.2762	240.4039	212.9978	217.9353	197.4294	171.3595	122.5798	91.5441	57.1711	35.9129	14.7114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
