Description	SOS (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:39																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	30																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
334	32.3458	22.7537	21.2619	28.317	37.0996	48.9515	46.5319	51.5552	55.6259	47.2408	34.0547	27.6826	18.9532	10.7988	3.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	33.9282	22.1209	30.0658	34.6331	35.2024	51.2974	47.2639	55.2457	52.4907	48.2125	35.7301	29.0701	20.8192	13.0808	6.0339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	31.5922	28.1801	26.5283	32.3431	41.916	49.7816	50.7926	50.0211	56.0685	51.8884	37.2696	30.3455	22.6969	16.3414	8.7711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	45.2632	28.5063	31.2385	45.7915	41.658	50.7663	51.1802	54.0246	55.8236	49.3218	41.3451	31.4816	24.4133	19.3681	11.3217	3.6006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	71.2543	27.688	37.6762	46.5117	49.6403	55.9761	56.6142	55.5064	57.6495	49.6556	44.0971	32.6557	27.1684	21.9269	13.7601	7.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	62.202	49.9198	49.0374	47.9956	52.0666	53.3653	62.8623	56.8347	57.6876	56.6589	45.2543	33.7125	29.7277	23.9645	18.1823	10.2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	70.8086	44.7323	58.9194	51.1812	56.4455	52.4278	60.9564	59.3655	60.3926	57.7756	51.9311	40.3883	32.1754	25.9135	22.3813	13.2416	4.1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	74.79	56.8963	65.4455	62.1436	63.6066	64.7903	63.8803	62.0365	63.6948	59.0497	56.8483	47.0335	34.5369	29.8184	25.716	16.14	8.1723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	88.4569	75.1263	63.4938	63.4686	63.2544	66.9194	71.1554	61.1949	64.1691	61.3957	57.4093	49.7158	36.7364	33.4909	28.1914	19.7079	11.9459	4.8706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	78.7506	71.7863	76.7813	73.2275	71.8163	67.9089	67.418	70.1394	67.5019	64.3471	61.9298	54.7453	46.698	36.9383	30.5084	23.0717	15.5141	7.9526	1.3991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	103.4385	78.0458	81.6034	77.2552	73.2419	74.8864	71.7051	70.146	71.6051	68.6453	63.2289	57.1581	47.9306	40.1547	33.4501	26.2283	20.6104	14.4137	5.7699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	95.3983	93.7543	77.5969	77.6778	82.4105	77.4829	78.3025	72.549	75.0796	69.977	67.1963	64.5778	58.1765	43.2883	37.996	32.6644	27.1602	20.5807	12.6219	3.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	116.6795	97.8997	85.1076	85.2715	82.3445	80.2898	79.3209	77.7993	75.1556	72.9832	69.3269	67.3141	63.8044	50.2574	44.0773	38.889	33.4293	26.5201	18.9991	9.9119	3.4961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	116.4348	100.7964	97.2144	93.7276	89.292	80.1541	79.6399	78.2667	80.5102	77.5973	77.0215	71.5304	68.8487	58.3036	49.86	44.7634	39.4018	32.1833	25.3386	15.8206	5.5133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	124.0729	120.0347	103.5912	94.5201	93.7586	89.7069	89.4031	84.256	88.4153	85.5234	80.7315	78.9619	72.836	65.8783	55.7344	50.6705	44.9345	38.564	31.6007	21.0283	11.6377	2.8103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	142.9998	125.4051	110.6745	104.5308	104.2721	97.8688	93.6652	89.8725	93.3677	88.301	86.1051	82.1069	79.4932	70.815	64.2645	56.3729	50.2767	46.1681	37.6569	27.5574	14.7924	7.8616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	168.6621	143.309	125.3943	118.977	111.8801	101.9254	101.9934	94.6566	93.4187	92.1647	91.9389	89.7404	86.7019	80.0705	71.9165	61.9216	56.8873	53.5592	43.5428	33.6114	22.2049	11.6018	3.4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	167.599	150.9686	136.2132	128.8018	120.1323	110.4437	107.6215	99.5716	104.0152	101.3429	95.1958	95.6906	95.9203	86.7612	81.9758	67.3323	64.0246	59.1763	49.294	39.5023	29.0931	16.2239	7.0797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	171.4779	170.5129	152.2061	134.4001	127.7715	116.8453	117.1471	108.0533	105.4761	102.6331	105.1702	102.448	102.5788	94.8965	90.6092	81.104	70.9307	64.6069	54.8981	45.2076	35.4579	22.8787	12.4963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	205.5475	188.9535	158.0436	146.3746	135.0093	127.1975	117.661	115.1955	117.5696	114.0294	112.4205	111.6519	109.9877	105.7452	97.1254	90.3263	78.0044	70.2487	60.6248	53.0121	43.0163	27.0469	16.4283	7.8833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	218.8286	180.5094	175.4227	159.6248	144.6799	136.2689	128.6151	125.7285	123.0148	121.9687	119.4812	118.5589	118.5687	114.8496	108.9633	98.2859	84.9259	77.8154	70.2668	62.6617	50.4206	36.8337	21.2815	10.3615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	232.831	209.8625	179.8624	171.7422	157.578	142.485	135.8768	132.5569	129.2829	130.7616	128.6185	129.406	127.5535	122.6754	116.4888	110.0711	96.4435	87.1536	79.6396	70.7983	57.6204	43.0815	27.0139	15.0332	3.8367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	251.786	215.232	198.3007	176.8146	164.3676	154.4007	150.1836	139.5208	140.2487	136.3103	138.4475	138.7418	137.8146	134.9192	127.1301	119.2317	107.9267	96.1877	88.7159	78.6748	64.5952	50.3658	34.2119	19.6541	10.5539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	274.2527	232.5762	200.1789	187.9629	183.9151	165.0208	151.3197	149.8954	148.1661	147.1728	149.1965	149.015	146.7534	144.6833	137.0661	128.8157	118.2396	104.9838	96.3237	85.8678	71.3879	57.465	40.587	26.2857	14.3404	3.3656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
