Description	EOS-15																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:17																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	20																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	0	0	0	0	0	0	0	0.5984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0	0	1.1838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	0	0	0	0	0	0	1.7995	1.7538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	9.4101	0	0	0	0	0	3.5493	2.306	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0	0	0	0	0	1.8524	4.6661	2.8419	1.6958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	2.9686	0	0	0	0	3.7112	5.2579	4.2241	2.5479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	7.8903	0	0	0	0	5.5764	5.8517	5.6109	3.4028	1.2108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	0	0	0	0	0	7.4442	7.2759	6.7286	4.2583	2.4245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	0	0	0	0	0	9.3119	8.6992	7.5746	6.1099	3.6391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	4.2308	0.3226	0	10.0297	10.3359	10.1244	8.4216	7.9642	4.8554	1.4221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	3.9604	20.2503	0	0	1.7777	12.6511	11.482	10.1938	9.4311	6.0368	2.829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	16.5678	5.195	1.0102	0.5817	0	12.1202	12.8244	11.9464	10.5528	7.6433	4.2208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	7.6498	21.5231	17.3131	8.7934	7.9916	10.4988	20.5409	13.6343	11.6231	9.2015	5.5787	1.3899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	25.7504	21.2674	14.903	13.2343	9.2994	14.5843	22.416	15.2396	13.0497	10.5523	6.8891	2.7461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	41.1493	14.9875	13.3001	11.1287	12.1263	15.2434	19.8634	16.8014	14.4378	11.7258	7.9716	4.0687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	26.0642	11.8434	5.6898	22.5011	17.1243	17.278	23.4445	22.1055	15.7143	12.8073	8.9833	5.3328	1.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	23.1726	26.5303	28.5806	23.6723	14.3301	22.259	23.795	21.4573	16.9381	13.6651	10.0178	6.5509	2.5488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	36.8123	26.2294	23.4615	19.5498	18.9755	20.6968	25.3925	23.8786	18.1012	14.4783	11.0669	7.5188	3.7543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	37.2892	33.987	32.8735	18.3071	21.9504	19.4997	24.0225	26.1629	21.1845	15.2457	12.0653	8.4429	4.9116	1.4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	35.3889	37.4631	28.7634	23.3717	21.8193	23.3923	23.7758	26.7845	22.6786	15.973	12.8328	9.3905	6.0219	2.8303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	51.8805	41.8816	31.7196	25.1064	24.3326	27.7826	23.5647	28.8673	23.7453	16.482	13.4159	10.247	7.6006	4.1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	48.1258	47.0085	44.0863	24.6644	23.523	23.8853	19.6379	27.7538	24.579	22.387	13.9389	11.0328	9.0703	5.3206	1.6497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	44.4735	52.1194	44.1367	33.8394	22.3823	24.3037	26.0767	26.485	25.7731	22.9014	14.4164	12.3012	10.2565	6.4448	3.1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	51.6343	47.1758	42.1798	32.7134	25.976	26.1259	27.9547	25.9114	26.1205	25.082	14.8511	13.4807	11.1813	8.3757	4.6477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	54.5213	47.5132	40.9931	31.3368	31.267	29.639	30.5932	24.8825	29.4801	24.4649	18.8248	14.5605	12.0266	10.1707	5.9991	2.0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	59.6566	41.6387	42.2288	34.7907	30.3552	31.0943	29.2497	28.7169	29.9863	25.4595	22.8513	15.6251	13.6876	11.6174	7.291	3.9133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
