Description	SOS-31 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 15:44																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	25																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
334	39.3587	27.1171	18.1435	21.0369	40.4865	51.4885	53.6514	57.1577	58.1173	49.694	37.9731	29.5945	20.7102	11.8437	3.0383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	42.0012	26.2555	26.0949	36.1404	34.6899	52.6489	58.9611	58.7241	58.7543	51.5588	38.9593	31.2912	22.8369	14.347	5.8889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	36.4419	28.3228	26.6151	30.7403	40.0658	47.8906	51.7687	55.8201	56.8195	55.1784	39.8486	32.8549	24.8972	16.8688	8.5606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	54.4948	28.9016	28.5115	35.9848	42.299	49.6369	57.9697	54.311	56.8098	53.8211	43.3033	34.2564	26.7806	19.2012	11.0501	3.2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	51.4807	30.9602	33.4849	42.9782	40.74	48.6237	53.1992	57.1097	56.7088	49.8672	46.304	35.6896	28.8153	21.4027	13.4303	6.3177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	53.1516	51.719	31.7833	35.6497	46.926	50.3812	56.1187	54.2157	57.2108	52.6837	46.8678	36.9864	30.6914	23.3919	16.9975	9.2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	64.2992	38.0481	38.7743	42.6738	45.0495	48.9439	56.5107	55.0421	56.2831	51.4688	48.6698	37.4218	32.494	25.2947	20.3867	11.9475	3.2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	64.7903	54.3366	44.6269	43.506	52.5607	52.6815	54.7234	54.8415	56.7748	55.0349	50.3324	45.6898	34.2437	28.3983	23.2038	14.5628	6.3955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	74.2229	58.6525	44.7075	46.2644	43.4859	57.4301	59.1993	55.3358	59.5292	54.3532	49.1865	45.33	35.8621	31.311	25.4377	17.3057	9.3486	2.5281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	67.7313	61.909	49.6395	51.262	50.3538	56.0841	62.2731	57.1866	60.1336	53.8896	53.4591	47.199	42.379	34.0398	27.5286	19.8893	12.1409	4.3868	0.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	76.4454	66.0941	55.0564	49.9265	55.0691	59.3425	56.8525	56.7848	58.4708	57.2793	53.4364	51.1177	45.6828	36.5789	29.7332	22.3106	15.9332	9.5562	3.6706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	68.9292	63.8939	55.5846	54.4705	52.2995	61.0534	59.8636	62.2769	60.162	60.3234	57.8046	54.3618	49.5415	39.0621	33.015	26.9224	20.6548	14.4863	7.4258	1.9839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	84.7919	71.8942	64.0193	57.1784	59.9192	58.293	63.0108	59.3558	60.0622	58.7168	56.1484	55.6153	53.0845	45.1753	37.3321	31.3905	25.1216	19.2297	13.3808	6.108	2.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	81.7742	77.1516	63.7909	64.638	61.524	60.9572	61.7732	61.9433	62.3308	59.0076	61.5168	59.1716	55.1068	47.7421	41.4312	35.5501	29.3756	23.7543	18.2527	10.7603	3.0378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	99.9002	82.033	64.4342	68.572	59.2939	71.4431	67.5904	62.5639	66.6551	64.7519	62.6185	61.2971	58.7105	54.155	45.632	39.7293	33.7861	28.5474	23.0574	14.8384	7.7356	0.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	100.7795	87.0434	82.2771	66.5777	72.2196	71.1595	69.3406	68.2771	69.3972	70.0778	68.9962	66.307	62.5271	58.7106	53.9416	43.7615	38.0456	33.7512	27.7045	21.0565	11.7917	4.6482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	107.0427	90.0079	87.8206	76.4878	74.5015	72.837	69.1843	69.8423	73.3592	71.6005	71.0303	68.6997	68.2775	63.237	56.3539	47.686	42.7504	38.8093	32.2204	24.9754	15.1527	7.9259	1.3737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	111.3859	98.3128	97.5235	84.724	84.788	80.7408	78.0686	75.3771	72.9339	74.0295	71.6937	76.8865	73.6741	67.9647	62.2844	51.514	47.6114	43.1334	36.3973	28.7896	20.4968	11.1048	4.1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	121.4055	111.5458	91.0523	89.5925	85.1516	82.6304	77.2361	74.2103	78.2038	77.2067	77.9345	76.2285	78.6658	72.1129	68.0193	60.6043	52.3126	47.3149	40.0053	32.4816	24.9253	15.1908	7.483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	151.4376	117.0798	100.934	98.9612	93.3972	85.6993	86.1886	81.2164	82.4671	83.1759	83.6954	83.4053	83.1059	82.1223	74.3492	68.7462	57.1463	51.1861	43.7135	37.8805	30.218	19.8348	10.7904	4.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	162.4653	124.3363	115.7964	103.7991	101.0796	97.8487	85.2472	87.9668	87.3377	86.8794	88.4309	86.8974	89.597	86.7507	81.6169	73.7743	61.8746	56.4052	50.6191	44.7958	35.4021	25.3873	14.1218	6.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
376	152.868	144.5189	125.2409	110.1352	110.4305	101.0748	90.1412	91.3809	89.6495	93.0051	94.3065	91.6639	94.3761	92.8988	87.1884	81.1803	71.7877	63.0876	57.3307	50.3035	40.4425	29.9057	19.1848	9.4239	1.2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
378	169.5742	155.2667	134.7114	122.9827	112.6737	108.6672	101.3478	95.216	99.0818	96.8568	99.4497	103.4031	101.3033	99.6009	94.3042	86.4194	77.2897	69.5508	63.8291	55.6319	45.3248	35.3611	23.8633	13.3176	7.3141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
380	202.1975	158.9447	153.1899	123.716	120.6435	108.2331	107.6992	104.6577	103.8513	106.0493	105.2335	109.1669	105.5789	107.0474	101.2856	94.8804	85.5536	75.8428	68.9572	60.5727	50.0792	40.6784	28.9566	17.3083	8.5771	0.3032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
382	199.0539	166.5784	147.7388	135.901	130.8015	118.1535	112.13	108.6791	106.6923	106.7239	109.0966	115.4401	114.7203	112.1614	111.8362	103.4282	93.1721	82.338	74.2807	65.4321	56.5136	46.0665	34.1127	21.6984	12.0781	4.4146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
384	196.9461	184.027	155.742	142.4629	138.1306	127.0474	120.1505	114.3753	113.6672	115.0609	116.6449	119.4506	119.9224	118.4125	116.0267	109.3346	99.4079	91.3546	79.5148	70.2101	62.8449	51.3679	39.0364	28.0906	16.0104	8.271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
386	206.7143	178.3772	163.2612	151.4848	139.1921	132.9268	121.7043	117.665	115.6534	121.0903	123.757	127.0496	126.8256	125.4519	122.9596	117.4637	110.5235	101.0958	84.9763	76.7473	68.8277	56.7938	44.0441	31.7542	20.5692	11.4134	2.9628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388	225.9588	209.1196	177.2286	159.4152	150.7456	136.5898	128.0526	123.5768	120.8696	123.2991	126.4442	132.1726	135.9725	131.1692	130.5094	124.4284	115.0024	105.6286	90.73	83.5423	74.5372	62.0886	49.1935	36.5827	24.3563	15.1445	5.8692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390	234.3214	214.9909	185.1255	173.4382	153.127	145.3987	136.2463	129.7336	128.3852	132.3407	136.2941	144.0754	142.7168	143.6031	138.0538	130.0255	122.099	113.6112	102.2206	90.3349	80.2441	67.3806	54.3402	42.176	31.1603	18.3252	10.229	0.4914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
