Description	E3-M																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:14																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	5																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
330	25.0984	27.1203	19.9961	14.3205	13.6914	10.7688	11.0944	11.5415	10.4665	7.9635	6.3179	4.6071	2.9538	1.1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	28.3771	23.2695	19.4557	15.8216	12.7985	13.2009	10.8685	12.0949	11.2891	8.1259	6.5987	5.0276	3.4158	1.7054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	28.0431	22.7884	21.4948	16.0984	13.6791	11.1356	10.3943	11.158	10.7303	9.8011	6.8503	5.4134	3.8436	2.2036	0.6173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	25.7255	24.3159	20.0161	15.7915	12.6034	11.6371	10.9578	12.0016	10.5692	9.6008	7.0799	5.7498	4.2488	2.6693	1.1965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	27.4498	25.569	18.5757	14.7637	13.5799	11.4345	10.6232	10.9682	11.3138	10.5522	7.2887	6.0602	4.632	3.2845	1.7393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	25.276	23.6194	18.5969	16.2972	12.779	11.1935	10.7596	12.0142	11.238	10.2697	7.7457	6.3394	4.9824	3.8551	2.2451	0.7394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	27.5636	24.3879	21.1522	17.4435	13.4912	11.9618	11.4189	10.8918	10.2472	10.0649	8.783	6.6233	5.4977	4.3485	2.7287	1.4379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	25.3268	23.9781	21.1136	15.7644	13.9925	12.0763	12.561	11.7474	11.3359	10.948	8.7036	6.8809	5.9757	4.7527	3.6133	2.0956	0.1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	26.2424	23.3467	26.1102	16.0234	15.2897	12.4807	11.0297	12.5984	11.4671	11.4731	9.6923	7.8323	6.4333	5.1393	4.4533	2.7194	0.9501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	29.6471	27.311	21.0752	17.752	14.3035	14.0507	12.3118	12.0909	12.3909	11.6637	10.2482	9.4452	6.8753	5.921	5.1293	3.3147	1.6999	0.0139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
