Description	SOS-10																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 14:14																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	40																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
308	87.9015	38.5068	0	14.6071	56.3726	95.5179	82.5276	67.6265	44.4691	22.3486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	38.749	32.1889	32.0687	39.8519	76.2907	94.4305	93.3777	74.6226	51.2527	29.8231	6.0304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	72.0674	85.536	52.0131	37.8239	61.4406	101.579	103.6188	80.8652	57.9645	37.0852	11.9977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	41.6243	22.9582	47.66	34.6377	56.0199	93.4441	113.7494	87.0377	64.8687	39.2773	17.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	70.3675	84.4033	55.4077	59.4336	65.043	91.223	119.7139	92.8309	71.4588	41.3061	23.664	3.7354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	102.5312	61.4859	59.7173	54.8369	68.4772	101.4295	115.4524	98.179	72.8805	44.7774	29.225	7.3806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	78.8306	69.1923	59.4333	44.6227	72.9848	98.0574	117.7492	103.369	74.2458	49.7616	27.7734	10.9356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	103.3604	73.0283	43.1616	75.0307	65.7195	89.7027	115.8748	102.5632	75.2039	54.3558	26.227	14.3337	2.5571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	80.0909	81.7044	63.6108	76.741	77.8501	88.4903	105.2282	91.4467	76.0847	52.4007	26.9291	17.6081	5.0258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	102.0389	70.9543	56.365	59.683	64.3679	80.4567	98.0464	108.2482	76.8542	50.4592	29.7499	17.5895	7.4029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
