Description	EOS-60																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:21																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	20																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
306	17.2793	25.1063	10.455	16.6633	7.5027	16.2028	13.5844	10.7494	6.8023	3.1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	51.6762	35.4908	15.7788	15.5101	19.5639	18.7746	15.3702	12.1013	8.7427	4.7707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	32.6228	35.4093	27.7144	16.4148	18.5024	16.857	17.1585	13.4551	10.6858	6.3653	1.8866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	56.5041	58.4157	37.1481	22.3529	14.7072	19.8394	18.8351	15.2862	12.365	7.9142	3.7531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	56.3798	48.5921	43.8883	30.1917	19.3449	26.559	20.4928	17.097	13.836	10.0842	5.5996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	54.9516	59.8591	55.6684	38.6416	19.7636	21.6651	27.7782	18.8248	15.2397	12.19	7.4014	1.9097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	58.3517	54.7273	49.6199	36.0393	21.6747	25.629	28.953	20.4509	17.1714	14.0013	9.1401	3.7734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	85.986	61.29	49.9502	36.0698	29.1146	26.723	30.5695	22.0315	19.0513	15.5588	10.7613	5.5909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	68.3791	58.4577	40.7442	43.5799	30.316	24.8842	28.6197	25.306	20.7827	16.9943	12.2823	7.3283	1.9434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	72.0084	73.2868	59.8427	53.3436	31.1675	28.2905	35.5822	27.3158	22.443	18.3037	13.7679	9.0023	3.8198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	95.5767	52.2619	55.8878	43.4071	30.7602	25.4932	33.2297	31.8906	24.0217	19.5479	15.2101	10.7888	5.6266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	81.7186	49.7775	66.8921	49.6842	38.1084	33.4271	34.4485	32.0804	28.5558	20.7249	16.5827	12.4982	7.3615	2.1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	71.7438	71.0516	52.1943	46.1289	38.2562	34.7096	33.636	34.9856	31.8736	21.8426	18.0576	14.0764	9.0259	4.2127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	79.9044	81.2441	74.3765	55.2615	34.3116	41.8273	35.3984	36.5371	35.4093	22.6556	19.254	15.3607	11.3508	6.1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	101.1303	65.8352	68.7486	52.9864	47.0332	34.6406	32.1401	32.9836	33.2517	30.0398	20.3425	16.539	13.5151	7.9202	2.4573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	106.5066	78.9789	68.1769	59.4093	40.8999	35.7036	35.0094	32.9867	34.3071	29.945	21.3448	18.403	15.2701	9.594	4.7628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	85.7378	83.622	67.7391	53.6104	45.8331	35.5201	37.1007	34.0858	38.0888	32.4711	22.2659	20.1361	16.6475	12.4743	6.9235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	77.738	76.9364	71.4838	61.4385	47.425	43.2393	36.173	34.3544	36.6869	33.1064	27.5098	21.722	17.9065	15.1522	8.937	3.0527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	106.7016	76.9043	74.3205	60.9669	42.6544	43.2031	40.4303	36.1963	37.8286	33.9212	28.716	23.287	20.3854	17.3099	10.862	5.9368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	105.0719	78.5479	71.3059	60.3705	49.9684	43.8312	45.0554	38.6174	37.7125	38.0754	32.1307	24.7283	22.6948	18.9188	14.9483	8.6521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	94.0042	82.6546	82.1278	65.613	53.4091	44.4885	43.1609	38.6953	40.3751	38.5504	35.3893	28.4594	24.8998	20.4577	18.8271	11.2278	3.6183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	96.179	102.718	87.5291	67.431	53.3595	45.7477	45.297	43.6238	41.5269	41.2642	38.2026	33.3224	27.0224	24.1039	21.8083	13.6859	7.0572	0.7345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	109.2776	92.7258	83.3013	75.4025	56.6637	51.0445	48.0777	44.6131	42.2808	41.7966	39.6808	36.3345	29.0046	27.5384	23.9083	16.7744	10.3164	5.3056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	116.1126	102.1779	91.1628	68.5794	57.8558	55.001	52.1887	49.2173	48.7977	46.2053	42.2852	41.8633	35.7527	30.7671	25.874	19.6869	13.3985	7.1082	3.1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	132.877	108.9641	92.3579	77.7967	71.271	56.0542	53.8028	53.2532	51.1186	50.3692	45.1311	41.6999	38.4849	33.7851	28.4289	22.4207	17.5504	12.4994	6.3629	1.1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	129.2664	127.082	96.7638	85.107	64.6646	58.6364	56.3085	53.613	53.9189	50.5698	49.6527	47.3524	43.0214	36.7182	32.1251	27.4985	22.9044	17.6468	11.3911	3.5548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
