Description	E1-2.5																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 12:53																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	10																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
332	23.4548	24.8767	18.7751	14.3268	12.6513	9.4597	9.5265	10.4411	8.9766	6.0556	4.4297	2.9812	2.1747	1.1613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	30.9951	19.1756	21.4219	15.2385	14.056	10.493	8.1434	10.0851	10.2989	6.9907	4.3953	3.2098	2.5677	1.5004	0.4125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	28.0979	30.966	20.0122	18.0053	8.4913	10.7551	9.3739	9.5176	9.4394	7.9014	4.3587	3.545	2.8919	1.8174	0.7993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	31.065	25.065	20.064	15.8116	12.035	10.8402	9.6507	10.2697	10.5972	9.0847	4.3202	3.8564	3.1525	2.2135	1.1618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	19.385	25.5053	22.3006	18.0291	11.145	11.6155	10.607	10.6233	9.9133	9.4149	6.4958	4.1409	3.3908	2.5807	1.4996	0.5386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	30.7562	20.8632	18.1271	18.7491	13.6994	10.3517	10.9445	10.1322	10.2585	8.6001	7.931	4.4224	3.7201	2.9035	1.8225	1.0472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	36.3037	25.1358	21.412	15.9028	13.0391	11.4239	12.5739	11.4106	10.8117	9.5432	8.3818	4.6812	4.0253	3.1731	2.5815	1.526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	29.4014	28.0542	23.7464	16.2876	14.9483	11.0391	11.5833	11.6086	11.3998	9.4514	8.8614	5.9604	4.3175	3.431	3.3016	1.9801	0.4129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	37.4328	32.3922	19.4064	18.1408	13.7883	12.8213	12.0852	11.8825	11.4448	11.4835	9.9498	8.0806	4.6	4.1117	3.8443	2.4134	0.8051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	37.6256	27.7946	23.0923	18.3931	15.6667	13.5117	12.7882	12.323	11.6656	10.3696	10.1567	7.8646	4.8625	4.7531	4.2141	2.7435	1.1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	38.152	32.2518	24.3545	20.1522	16.2032	11.8672	13.3109	12.8968	11.9803	10.184	10.5045	8.6526	7.5107	5.3565	4.5602	3.0536	1.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	39.9097	32.219	23.3473	22.1978	15.5665	14.3811	13.9513	12.6506	12.351	12.3059	10.8425	9.3838	7.5547	5.9208	4.8078	3.3432	2.1913	0.9701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	32.368	30.2229	23.5241	19.1679	18.0082	14.9093	13.6554	14.0848	13.012	12.6308	9.7883	11.3622	9.1673	6.4684	5.3752	4.2733	3.1692	1.8934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	39.8723	32.3925	24.1161	21.4635	18.0402	15.3324	15.2367	14.5922	14.3279	12.4033	11.7983	11.5696	10.0924	8.7129	6.2455	5.1714	4.1481	2.7797	1.2777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	36.206	32.7737	26.5847	22.6981	19.6287	16.2495	13.8941	14.6369	13.8544	13.5019	12.8712	12.1474	11.8117	9.1671	7.0728	6.0633	5.0815	3.6255	2.2376	0.1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	44.5843	33.7909	29.421	25.8439	18.9277	17.684	15.9685	15.239	15.7105	14.3925	13.8651	12.8711	12.216	11.1755	7.9126	6.9772	5.8945	4.5449	3.1758	1.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	41.7111	28.6196	32.07	23.7806	21.7701	18.2017	17.1151	17.3586	15.7979	15.6542	14.4176	14.4944	12.5581	12.2182	9.6008	7.8596	6.6796	5.5967	4.0837	2.4193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	42.4932	37.4721	32.1797	26.6635	22.495	18.3562	16.9909	16.7642	16.3202	16.476	16.1763	15.15	14.1313	13.0998	11.9366	8.7178	7.6031	6.6183	4.9652	3.3339	0.1571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	45.1006	36.6371	37.0079	26.5598	24.2039	19.5414	19.4234	16.9229	18.4007	16.7299	16.9079	15.6718	15.093	13.6066	13.2019	9.554	8.5813	7.4561	5.8275	4.223	2.1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	42.4338	42.3443	35.4995	28.3375	25.0806	20.5534	20.0412	18.8627	19.8159	17.5169	16.5539	17.0931	16.7194	15.529	14.1865	12.258	9.5276	8.2664	6.6713	5.0845	3.4993	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	53.2679	44.8182	39.1242	32.0233	26.0974	22.3604	20.1232	19.0558	20.3734	18.7676	18.632	17.1348	16.9985	17.0123	14.8109	13.9953	10.4955	9.1048	7.5258	6.2407	4.448	1.7694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	53.0892	45.6047	36.7481	32.5965	27.5249	23.3667	21.4319	22.1345	21.4824	20.2058	19.6184	19.0273	19.1115	18.6026	16.6569	14.5857	11.4422	10.2215	8.9439	7.6622	5.3772	3.187	0.0775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
