Description	SCS-A (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/12/2010 10:08																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	20																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
318	7.6349	0	0	0	16.1693	28.3109	39.4822	35.4348	32.0303	28.3233	18.4833	7.8398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	19.5407	0.5714	5.7779	8.0334	23.9856	32.2115	44.099	39.625	36.5413	31.4773	22.0648	11.6176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	17.4163	6.0822	0	16.8617	23.0759	35.3903	46.0038	46.7031	40.7423	34.3848	25.4342	15.2296	3.9379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	17.8754	20.8017	11.3216	23.3083	28.4087	39.0719	45.2482	46.0942	44.7781	37.3159	28.6257	18.7109	7.741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	48.8334	11.0435	14.3665	24.2524	31.0744	41.6292	48.139	51.2992	48.6267	40.1056	31.6274	22.1461	11.4042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	31.4679	17.0302	21.7622	27.7207	37.7248	42.0134	50.3917	53.0035	49.4044	42.7491	34.485	25.4323	14.9222	3.5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	45.8801	36.2715	26.5638	28.0145	37.8552	44.6841	50.6913	55.3577	54.7975	45.2626	37.2977	28.547	18.2981	7.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	58.7182	36.601	37.4572	36.6084	40.8857	50.7194	51.8862	56.3043	58.1493	47.1347	39.5462	31.1541	20.8139	10.2138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	40.7376	38.9133	42.0957	39.0208	44.5117	51.0362	49.8777	51.6381	56.4758	51.1151	41.5859	33.5468	23.1401	13.1984	3.6071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	59.2712	40.8156	45.0847	39.4894	41.5028	49.6842	56.5078	59.3046	57.3353	53.4418	43.4608	35.3147	25.4547	15.9888	6.9918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
