Description	Bog1 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2010 14:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	60																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
326	1374.7089	1390.5635	1162.5657	1006.8192	729.1462	510.2897	543.6258	530.0079	450.3197	298.1074	178.5225	111.7155	50.7647	-0.0001	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	1204.1218	1222.5598	1123.1851	900.2601	650.9752	489.2515	511.0595	501.1126	424.0494	288.3069	194.6851	117.5471	66.4322	16.1953	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	1071.1874	1160.9768	1026.051	830.443	611.9921	457.8267	463.7886	471.7412	412.1143	278.6697	198.3973	127.1448	81.4704	31.7786	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	984.3156	997.7295	914.379	746.4685	564.5634	456.4376	428.6248	448.7795	393.5847	266.2992	199.6484	138.7685	93.4607	46.248	-0.0001	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	921.0013	924.7469	855.6256	662.3191	525.1364	405.6098	397.2054	414.2927	362.8031	273.3689	200.4495	149.4377	104.5598	59.7683	20.7846	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	826.7555	794.2554	796.3693	628.1598	456.5094	381.8306	379.4902	394.8251	339.1131	280.6022	201.0058	158.039	115.3189	72.4114	40.2962	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	707.1946	735.8726	653.559	552.5375	462.5255	368.3056	362.1966	355.1344	338.7189	278.9162	201.3378	165.9683	125.7383	96.1491	58.5929	10.9653	-0.0001	-0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	670.114	660.0126	625.2194	514.1581	421.356	353.9301	346.3159	360.1669	327.8917	269.1326	213.392	173.0772	135.2651	118.2451	75.6513	38.4738	9.0845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	632.2101	580.3349	549.8998	493.4658	387.1252	341.6672	335.6975	334	328.0394	266.4262	229.408	180.3467	155.8782	136.3892	91.9682	64.5201	27.2911	2.4203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	620.9741	571.0692	522.4417	460.0118	389.5557	327.7624	344.055	335.5776	317.3988	274.5479	229.8659	186.9262	175.1137	150.3416	121.6648	89.0428	46.8581	23.8781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	570.853	543.4257	525.2518	454.5851	379.8983	323.0535	341.4814	327.3305	318.7304	283.5339	254.4984	215.6556	193.4767	163.6803	149.8873	112.332	73.4363	39.9837	13.9973	0	0	0.1623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	597.0699	528.1196	506.3673	445.5684	387.9195	326.3538	337.5444	343.2479	319.34	298.4599	268.655	234.4232	211.1469	190.2063	174.0002	134.5863	98.7707	68.4688	33.5801	0	0.3755	0.3165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	579.155	541.6281	468.9047	421.8265	380.1657	338.6352	359.9272	336.478	335.8161	303.1958	286.1716	254.2312	227.6734	215.1891	193.8995	157.644	122.7371	84.9044	55.8279	24.9222	0.7318	0.4626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	588.8818	541.1091	470.7638	424.8138	390.264	353.5539	344.2686	354.0357	342.572	318.3856	308.7964	286.1652	259.5243	238.6728	212.5747	179.3633	145.3605	111.4252	79.0182	43.9553	1.069	3.1223	3.0321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	566.3612	518.8595	494.2311	437.9761	382.6497	356.5744	364.7806	368.764	358.9363	337.2311	324.7216	301.3589	286.7414	260.6152	231.9475	199.7142	176.8411	145.6432	98.8782	61.3928	26.7018	8.0933	5.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	589.6452	578.1664	514.1993	439.8171	412.9175	376.7864	371.8105	378.6818	370.704	351.2986	340.3106	334.0876	314.6082	281.9832	260.7716	239.431	217.2768	178.47	126.0365	80.4781	43.4635	12.8306	8.6388	0.8275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	576.1225	572.0517	509.552	456.5543	434.1028	394.8207	394.2403	392.5206	389.6933	372.3915	361.8532	365.6886	351.1813	324.7913	298.6951	277.9775	256.7752	210.274	154.2619	110.3332	70.2729	17.3845	7.5693	1.6196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	660.1418	616.5736	542.0541	484.6293	453.3313	419.7797	409.4988	410.0708	405.2986	393.6205	390.3678	393.6993	375.4635	354.1372	334.7733	314.9818	294.4057	240.5606	190.5717	135.5345	86.4108	41.1991	6.5387	2.3763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	685.6602	603.0306	560.1828	537.1505	473.4236	453.8266	434.7911	427.6595	430.1965	422.2745	410.3359	416.3343	413.1835	396.6163	371.619	352.7521	324.2564	275.9692	226.7549	163.659	107.5586	59.3586	5.5858	6.6325	4.9496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	736.7984	656.7551	623.9504	561.1623	508.5388	470.5175	477.8127	454.6948	454.1785	453.5328	450.1571	460.4775	454.5022	429.3432	415.205	389.2414	353.0621	319.5419	261.763	195.2419	134.5653	84.1068	35.6551	14.2134	9.7446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	824.4998	742.0128	646.8463	584.6038	535.7965	503.1599	484.1253	482.2506	483.0256	481.4464	487.5284	486.9093	482.6017	480.7322	454.7351	424.7969	390.3498	361.9654	295.8363	227.6298	160.3157	102.2854	60.711	21.5691	14.3968	2.5576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	843.2234	776.4188	691.7184	641.9509	576.6009	545.0566	523.8143	510.5819	511.0662	513.0928	514.8896	526.0471	528.3526	512.382	491.5715	459.5172	431.2925	394.4843	328.2815	259.1919	194.92	122.8381	76.9607	28.7181	15.362	5.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
