Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 13:32																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	25																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
334	42.6746	19.2872	18.0423	22.0337	28.4026	36.9874	41.3605	44.328	47.7433	47.3566	32.1657	26.3473	19.659	11.3627	3.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	47.8987	30.8489	20.4431	29.5335	30.8625	41.0286	40.2329	46.1915	47.0509	43.3313	33.8884	28.4341	21.9089	13.7642	6.0426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	44.0372	34.5278	25.0378	20.609	33.7291	42.5405	39.5096	45.0099	50.0764	50.2528	35.4741	30.3671	23.8854	16.7526	8.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	56.1151	29.1204	29.3261	31.0774	36.8791	43.2888	43.123	46.212	49.6806	47.5754	41.6993	32.12	25.6921	19.523	11.3386	3.3603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	56.6496	35.951	29.0429	31.287	33.2268	41.5757	42.9041	48.6278	48.6184	46.4294	41.4278	33.8768	28.1772	21.9618	13.781	6.5348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	58.6719	33.6819	30.4647	31.9577	38.8588	43.8733	46.273	48.6622	50.9726	49.4847	41.4146	35.4823	30.4798	24.0031	17.5172	9.5234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	54.246	42.0268	42.7265	31.9418	38.3384	38.7403	46.5129	47.3845	48.2955	48.7427	47.2343	39.2986	32.6855	25.9556	21.0668	12.3582	3.2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	63.7403	56.9513	35.7081	40.1728	37.7006	44.8239	49.4416	51.0742	48.6041	52.277	46.1486	45.0986	34.8181	29.2121	24.002	15.0636	6.3927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	72.6169	58.6519	48.9094	43.2445	40.4696	52.1598	53.9142	50.2145	55.3353	50.9237	49.7992	44.0175	36.7997	32.2692	26.3128	17.7924	9.3446	1.7826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	81.4605	53.1472	49.8909	48.5205	45.004	48.4748	51.0997	52.6045	51.2116	52.8758	52.0614	46.8181	40.366	35.1339	28.4758	20.362	12.1356	3.903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	81.3038	61.6227	54.9262	46.6314	50.8383	49.4532	51.1523	56.4113	57.8851	53.9005	55.6111	48.6618	43.7653	37.8003	30.6539	22.7695	15.8227	9.1221	3.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	75.1098	65.5268	49.8957	57.9677	54.7684	52.6003	58.3471	58.6993	57.6889	57.2856	55.8788	53.2345	47.9652	40.407	33.8112	27.1659	20.4692	14.0986	8.3093	0.5836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	74.9627	67.0026	63.4979	59.796	58.7956	59.2198	59.4255	58.4226	58.6969	60.4886	55.5795	56.016	54.2405	46.2842	37.9122	31.4287	25.1123	18.8855	12.5683	6.1104	0.6165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	109.8747	91.6254	67.9169	68.455	61.446	58.8525	58.8035	57.2478	62.8496	62.9108	61.5922	60.4819	57.4345	49.8357	41.8037	35.6346	29.5353	23.4521	17.6727	9.6014	2.3852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	98.79	85.7868	81.0694	70.494	63.8153	68.6514	66.3914	66.5878	64.8745	63.8127	64.9476	63.8515	62.7332	53.3666	45.8068	39.9787	33.9774	28.4219	22.698	13.958	6.5318	0.8948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	107.7656	97.198	84.5291	72.4094	75.6998	72.429	69.5306	68.5968	69.5021	69.4234	66.5771	67.4523	63.9804	58.0181	51.5483	44.1707	38.2676	34.0693	27.5592	20.2243	10.3131	3.9581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	129.7069	105.9276	97.4841	84.7639	72.8396	75.5856	73.3825	67.5964	72.0962	73.3495	72.2761	70.3001	69.4004	65.6636	58.3532	48.2504	43.2698	39.5579	32.2829	24.5686	14.3186	6.9892	1.2253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
