Description	E1-50																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/1/2013 13:11																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	5																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
330	31.8911	29.8273	24.772	19.6392	16.6559	13.906	13.6866	13.4202	12.4676	9.8251	7.9193	5.8527	3.7519	1.6671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	32.9644	31.046	26.9797	23.0995	15.9911	15.4808	14.654	14.9318	14.075	10.1377	8.3056	6.387	4.5975	2.4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	32.923	30.9925	26.8139	19.7305	17.2775	14.3581	13.7598	13.7642	12.6885	11.3383	8.6531	6.8773	5.384	3.1347	0.9147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	28.0948	32.5382	24.806	21.5137	16.6657	15.5315	14.2881	13.9078	13.026	12.088	8.971	7.5419	6.0454	3.7974	1.7729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	30.4317	29.3352	24.5348	21.7042	17.9012	14.7262	14.7631	14.0393	14.1741	12.9128	9.261	8.1589	6.591	4.7758	2.5774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	32.0347	30.3676	24.6287	21.9786	18.1239	15.6841	14.7426	13.6503	13.8033	12.3231	10.2227	8.7216	7.0898	5.6845	3.3272	1.0725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	33.0114	30.4907	27.3876	22.2285	18.6481	16.2079	15.4448	14.3247	14.0456	12.9915	11.1205	9.2804	7.9201	6.4461	4.0441	2.0858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	28.8795	31.8753	26.0204	21.8463	19.3585	17.5041	16.0416	14.7697	14.6387	14.0776	12.0202	9.7934	8.6919	7.0456	5.1041	3.0401	0.7064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	30.9762	30.8083	29.0549	20.7403	19.9611	16.7396	15.7362	14.2139	14.2306	14.0982	12.4694	10.7648	9.4299	7.6191	6.1115	3.9453	1.7624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	36.6692	33.7518	29.6399	23.426	20.5877	17.5215	16.549	16.166	15.1056	14.8419	13.6597	11.9617	10.1418	8.5408	6.9965	4.8094	2.767	1.2762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	36.5265	36.6113	29.059	25.528	19.9407	18.3696	17.7772	15.7698	16.4446	14.95	14.3196	13.1419	10.8052	9.4059	7.752	5.7083	3.7183	1.9846	0.4853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	38.4544	34.5317	30.7103	24.3938	21.5896	18.7216	17.7839	17.2412	16.8913	16.3266	14.9128	14.1301	12.0987	10.2163	8.4603	6.5551	4.6172	2.6795	1.4894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	39.053	37.715	31.9263	26.3924	21.9943	19.5366	18.617	17.9177	17.484	16.3357	15.7133	14.1617	13.3119	10.9703	9.1991	7.3487	5.8002	4.0973	2.378	0.5796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	38.3277	36.1372	33.6022	25.7324	24.4506	20.9846	19.2833	19.0469	18.1108	17.6937	16.4851	16.0669	14.1946	11.708	10.247	8.7756	7.2393	5.4527	3.6695	1.3889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	42.7078	39.3643	33.743	27.6156	24.406	21.2098	20.3001	19.4732	18.8174	18.0357	17.2076	16.8425	15.3441	13.3838	11.5931	10.1594	8.5808	6.7604	4.8334	2.7161	1.2274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
