Description	Scan series EEM_1.prn through EEM_53.prn																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	3/5/2013 16:03																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	6																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
330	39.6014	39.6046	28.2566	21.8989	18.3145	14.0856	15.2759	14.2624	12.4451	9.1232	7.4022	5.4814	3.5144	1.6373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	40.5704	39.2732	32.6309	24.8453	18.3034	15.7335	14.9025	14.9099	13.5595	9.4682	7.7675	5.9817	4.4157	2.3824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	41.9026	37.7592	31.2488	25.9682	19.2572	15.8354	12.6128	14.7133	14.1773	11.3205	8.0964	6.4407	5.2548	3.0784	0.8924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	43.323	37.732	32.4385	24.6949	18.7053	16.565	15.4926	13.5139	13.418	11.5766	8.3972	7.163	5.9361	3.7291	1.7296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	45.5709	38.9999	33.8411	24.7218	18.6904	15.6225	15.4467	13.9265	13.8233	12.5209	8.6718	7.8347	6.4717	4.673	2.5144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	40.6449	41.4154	33.4015	27.7961	19.7608	17.3813	14.2374	13.8865	13.7106	12.4359	10.5371	8.4493	6.9613	5.5493	3.2457	1.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	42.8647	38.1103	34.555	27.4304	19.6934	16.4468	16.498	14.9406	13.9017	12.5762	11.7177	9.0559	7.7604	6.2872	3.9449	1.9578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	44.467	38.9198	33.4556	27.2958	22.7525	17.6055	16.3924	15.4929	14.8339	13.5357	11.4225	9.6146	8.503	6.8718	5.0168	2.8533	0.3128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	40.122	38.9538	34.5199	26.9694	21.282	17.4288	15.5569	15.4917	15.3616	14.2071	12.6562	9.9055	9.2132	7.4309	6.0352	3.7028	1.3761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	47.1942	40.9674	35.4732	27.4353	20.8867	18.0372	16.8055	16.135	14.7671	14.9551	13.2205	11.8631	9.8984	8.3655	6.8967	4.5136	2.387	0.5517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
